PeakID (cmd=annotatePeaks.pl /home/abhi39/Projects/CHIPseq/output/4_peak_calling/output/differential_binding/unique_IFNa30h.bed hg38 -annStats /home/abhi39/Projects/CHIPseq/output/8_peak_annotation/annotated_IFNa30h_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_176193	KI270747.1	198302	198523	+	1000													
Peak_81363	KI270522.1	5664	5665	+	1000													
Peak_160380	KI270740.1	19202	19401	+	1000													
Peak_94577	KI270711.1	42070	42151	+	1000													
Peak_171570	KI270745.1	41697	41866	+	1000													
Peak_58676	KI270371.1	1932	2039	+	1000													
Peak_59941	KI270420.1	2129	2146	+	1000													
Peak_58494	KI270340.1	1332	1352	+	1000													
Peak_79551	KI270518.1	2101	2181	+	1000													
Peak_98691	KI270715.1	161259	161334	+	1000													
Peak_58749	KI270379.1	499	631	+	1000													
Peak_7087	GL000194.1	191401	191469	+	1000													
Peak_58677	KI270371.1	2040	2294	+	1000													
Peak_160383	KI270740.1	20569	20574	+	1000													
Peak_82522	KI270548.1	824	888	+	1000													
Peak_160399	KI270740.1	29146	29294	+	1000													
Peak_160378	KI270740.1	18298	18497	+	1000													
Peak_171131	KI270744.1	168339	168381	+	1000													
Peak_160400	KI270740.1	29295	29345	+	1000													
Peak_7105076	chr15	101981259	101981289	+	1000		Intergenic	Intergenic	-2181.0	NR_051985	100288486.0		NR_034090	ENSG00000290824	DDX11L9	-	DEAD/H-box helicase 11 like 9 (pseudogene)	pseudo
Peak_58681	KI270371.1	2514	2621	+	1000													
Peak_58940	KI270385.1	935	937	+	1000													
Peak_59907	KI270419.1	824	902	+	1000													
Peak_82520	KI270548.1	691	717	+	1000													
Peak_58695	KI270373.1	995	1266	+	1000													
Peak_58916	KI270384.1	1286	1334	+	1000													
